ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile
195-33-0728|3508835615951480|Ellen|Ortiz|F|482 Robert Light Apt. 994|Florence|AL|35634|34.9186|-87.6136|63217|Optician, dispensing|1931-08-14|917181406434|adults_50up_female_urban.json
312-37-3444|6577738721489511|Robert|Potter|M|32003 Carr Trafficway Apt. 769|Bothell|WA|98021|47.7918|-122.2243|107070|Engineer, broadcasting (operations)|1997-01-06|767589450881|adults_2550_male_urban.json
507-52-3998|4163287083172781|Victoria|Larson|F|868 Merritt Summit Suite 743|Bear|DE|19701|39.6102|-75.6747|39194|Health and safety inspector|1975-01-23|857987636625|adults_50up_female_urban.json
497-81-3920|4143455812236231660|Erin|Owens|F|66909 Woods Knoll|Dunkirk|NY|14048|42.4877|-79.3283|15072|Hydrogeologist|1964-09-26|428437913341|adults_50up_female_urban.json
552-96-8948|3573467065627293|Kimberly|Meadows|F|62720 Gray Forest|Cantrall|IL|62625|39.9169|-89.6891|855|Programme researcher, broadcasting/film/video|1963-04-04|370770979513|adults_50up_female_rural.json
285-97-6907|4708053100330923275|Maureen|Elliott|F|4529 Kimberly Estates|Pickens|SC|29671|34.9024|-82.7058|18030|Insurance risk surveyor|1972-11-24|636119440405|adults_50up_female_urban.json
320-74-6150|6011193149190586|Jessica|Wood|F|67165 Zimmerman Mews Apt. 849|Jamison|PA|18929|40.2566|-75.0961|9306|Solicitor|1983-11-15|531608037091|adults_2550_female_urban.json
447-94-9708|4314737996507527356|Robert|Peterson|M|083 John Lodge Suite 837|Sacramento|CA|95833|38.6157|-121.5053|757530|Recycling officer|1965-10-26|869508288813|adults_50up_male_urban.json
096-38-3631|6011495788568554|Michele|Nelson|F|13518 James Streets Suite 498|Waterford|MI|48327|42.6438|-83.4076|71528|Therapist, speech and language|1946-08-02|915259790398|adults_50up_female_urban.json
304-30-5913|4082400842710944|Julie|Alexander|F|47116 Jones Roads|Fort Mill|SC|29715|35.0108|-80.9266|67600|Astronomer|1949-08-09|163860419795|adults_50up_female_urban.json
312-11-4067|2706999386774968|Eric|Oliver|M|34123 Andrea Estate|Absecon|NJ|08205|39.4745|-74.4575|38633|Accountant, chartered|1972-02-24|495675808653|adults_50up_male_urban.json
609-61-4772|564471349360|Brian|Walker|M|2102 Larson Views|Somerville|MA|02143|42.3829|-71.1028|73844|Teacher, adult education|2008-06-16|317489104406|young_adults_male_urban.json
128-60-4983|3548877190659403|Brandon|Hayden|M|490 Thomas Run|Brockton|MA|02301|42.0794|-71.04|93766|Private music teacher|1966-12-10|308877180672|adults_50up_male_urban.json
600-56-8057|2556551256746807|Jesse|Edwards|M|68087 Brown Path Suite 977|Elkins|AR|72727|36.0177|-94.0073|5658|Arts development officer|2005-03-05|292932052116|young_adults_male_urban.json
135-37-7179|3510932480861310|Julia|Wilson|F|4846 Baird Gardens|Hockessin|DE|19707|39.776|-75.6889|16483|Programmer, multimedia|1961-09-08|161281455424|adults_50up_female_urban.json
196-77-8328|3514658404499723|Jeremy|Washington|M|867 Kane Square Apt. 963|Severn|MD|21144|39.1275|-76.698|31884|Paediatric nurse|1996-01-19|348079814698|adults_2550_male_urban.json
485-91-6247|6011702895171879|Adrian|Thomas|M|74596 Melissa Walk|Perham|MN|56573|46.6031|-95.5818|5993|Social research officer, government|1963-05-03|688554816658|adults_50up_male_urban.json
778-63-8865|676213431619|Paige|Padilla|F|2400 Flynn Hill|Mesa|AZ|85202|33.3851|-111.8724|478404|Mechanical engineer|1985-06-14|474056332778|adults_2550_female_urban.json
251-68-6752|3522196937923745|Julia|Estrada|F|8217 Huerta Hills Suite 474|Roanoke|VA|24017|37.2937|-79.9902|165571|Engineer, civil (contracting)|1950-12-14|425199071794|adults_50up_female_urban.json
110-31-6249|3594406409097438|Lisa|Gomez|F|421 Kyle Mill|Dearborn Heights|MI|48127|42.3353|-83.2864|57774|Analytical chemist|1973-06-10|401921209060|adults_50up_female_urban.json
135-12-4836|372328588424742|Paul|Morgan|M|1236 Davis Locks|Port Jefferson Station|NY|11776|40.9136|-73.0464|24235|Administrator, education|1930-12-01|589546360500|adults_50up_male_urban.json
466-48-4296|3551370985931744|Matthew|Wilson|M|47113 Paul Land|Hudson|FL|34667|28.3648|-82.6757|44792|Sound technician, broadcasting/film/video|1966-03-15|646045230097|adults_50up_male_urban.json
745-20-6798|4796405377351581|Steven|Newman|M|4317 Elizabeth Row|Mission|TX|78572|26.2644|-98.3909|167182|Therapist, speech and language|2003-04-03|25645650502|young_adults_male_urban.json
806-43-3991|4183933529042288|Danielle|Thompson|F|05395 Grant Center|Womelsdorf|PA|19567|40.3743|-76.1985|5388|Computer games developer|1991-09-20|462747155483|adults_2550_female_urban.json
117-96-1042|38589178390843|Judith|Maynard|F|6617 Jones Common|Sterling Heights|MI|48310|42.5648|-83.0701|129683|IT technical support officer|1952-11-24|161526407509|adults_50up_female_urban.json
130-36-9591|180069847896112|Sarah|Curtis|F|7365 Ross Stream|Chico|CA|95928|39.7224|-121.8113|106193|Chief of Staff|1991-03-27|469493820213|adults_2550_female_urban.json
682-33-6133|4111161528098856|Michael|Jenkins|M|049 Bell Ports Apt. 273|Bronx|NY|10463|40.8798|-73.9067|1382480|Clinical cytogeneticist|1943-08-19|929216664078|adults_50up_male_urban.json
377-15-4565|3568998094024455|Heather|White|F|612 Christopher Pines|Chatsworth|CA|91311|34.2583|-118.5914|36557|Engineer, structural|1930-12-05|461177243339|adults_50up_female_urban.json
350-21-6063|4991022901476797641|Cindy|Hunt|F|1497 Williams Locks Apt. 034|Bedford|IN|47421|38.8729|-86.4871|27831|Engineer, mining|1977-06-08|153619596480|adults_2550_female_urban.json
297-42-1966|675962268388|Kristin|Barnett|F|60607 Michelle Ports Suite 966|Burlingame|CA|94010|37.5671|-122.3676|40737|Horticultural consultant|1935-09-10|442876297368|adults_50up_female_urban.json
333-22-7539|3516136968164536|Gary|Jackson|M|835 Luna Viaduct|Falls Church|VA|22042|38.8635|-77.1939|116155|Data scientist|1999-09-16|112683916677|adults_2550_male_urban.json
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Miami Beach|FL|33141|25.8486|-80.1446|95666|Camera operator|1980-12-24|951956593813|adults_2550_male_urban.json
630-77-8308|6598079359782074|Brian|Nolan|M|182 John Mill Suite 889|Waterloo|WI|53594|43.1832|-88.9838|5144|Designer, interior/spatial|1932-01-27|409584822948|adults_50up_male_urban.json
397-53-5544|4515186449251922|Thomas|Collins|M|91486 Li Skyway Apt. 685|Tuxedo Park|NY|10987|41.1925|-74.2159|3395|Adult nurse|1981-08-16|340859761513|adults_2550_male_urban.json
220-44-7968|4221418880595|Carlos|Bennett|M|92706 Rhodes Freeway|Kissimmee|FL|34741|28.3051|-81.4242|228365|Producer, radio|1977-02-18|311860132678|adults_2550_male_urban.json
803-58-3834|213147359774686|Joseph|Burch|M|240 Sawyer Plaza|Hickory|NC|28601|35.7576|-81.3289|79007|Civil engineer, contracting|1984-06-20|930768379867|adults_2550_male_urban.json
872-16-4671|2225782613750601|Jennifer|Brooks|F|53051 Moody Dam Apt. 472|Sedalia|MO|65301|38.6961|-93.2323|34267|Psychotherapist, child|1979-07-21|676236594141|adults_2550_female_urban.json
082-03-4194|4898614341033|Jason|Bauer|M|17980 Jennifer Highway Suite 095|Yorktown|VA|23692|37.1686|-76.4581|45297|Financial adviser|1996-03-06|457717515381|adults_2550_male_urban.json
681-86-1403|180018888806704|Mark|Zavala|M|051 Allen Shoals Apt. 952|Downey|CA|90242|33.9218|-118.1395|111772|Armed forces operational officer|1967-05-16|598513567016|adults_50up_male_urban.json
834-83-2869|4722170430305482|James|Ochoa|M|0345 Michelle Isle Suite 156|Fortson|GA|31808|32.6288|-85.0017|6679|Office manager|1992-07-09|484228819436|adults_2550_male_urban.json
348-24-8130|3558416169284518|Angela|Guerrero|F|9627 West Stream Suite 964|El Campo|TX|77437|29.2008|-96.2743|17054|Barista|1996-02-26|734761706971|adults_2550_female_urban.json
416-47-8407|3502970213556906|Larry|Shelton|M|7192 Sanders Run Suite 310|Castorland|NY|13620|43.8843|-75.4604|2197|Electronics engineer|1998-09-09|569079060568|adults_2550_male_rural.json
576-16-4289|4394731217271551888|Donna|Evans|F|258 David Flats|Goldens Bridge|NY|10526|41.3004|-73.6479|1809|Corporate treasurer|1987-03-02|868600167952|adults_2550_female_rural.json
027-47-9078|3578291146786695|Benjamin|Compton|M|7852 Katrina Curve|Granite City|IL|62040|38.7261|-90.1106|43735|Police officer|1998-10-22|63858482694|adults_2550_male_urban.json
531-20-4983|4535841438424981|Brandon|Davidson|M|99590 Christopher Row|Indianapolis|IN|46229|39.7886|-85.9779|910148|Technical author|1978-03-23|714101259587|adults_2550_male_urban.json
786-74-6826|3578447364710276|Jennifer|Marshall|F|255 Hester Curve Suite 881|Georgetown|TN|37336|35.2932|-84.9127|4202|Investment banker, operational|1962-03-04|512139364441|adults_50up_female_urban.json
274-58-4062|4046963259532783|John|Koch|M|16873 Brandy Causeway Apt. 479|Albuquerque|NM|87106|35.079|-106.6169|641349|Psychotherapist, dance movement|1981-03-02|589637799519|adults_2550_male_urban.json
868-14-7061|4565060983584163|Jonathan|Duran|M|912 Phillip Underpass Suite 852|Canton|IL|61520|40.5601|-90.0242|17839|Engineer, civil (contracting)|1995-04-11|560933307161|adults_2550_male_urban.json
513-06-0743|503857872983|Charles|Velazquez|M|69495 Erickson Hills Suite 055|Ellicott City|MD|21042|39.2726|-76.8614|80322|Clinical molecular geneticist|1934-08-28|459475163381|adults_50up_male_urban.json
316-93-0437|3549930972896237|Andre|Vaughan|M|07562 Vaughn Loop|Palm Bay|FL|32907|28.0168|-80.6739|104966|Retail banker|1947-11-10|673343378855|adults_50up_male_urban.json
894-95-1021|3583857865278586|Hector|Ingram|M|733 Grant Fork Suite 437|Atchison|KS|66002|39.5594|-95.1304|13755|Investment analyst|1970-01-17|384312829345|adults_50up_male_urban.json
815-93-4481|4986652404157473381|Denise|Hoffman|F|19933 Elizabeth Pines Apt. 301|Kingsport|TN|37660|36.5144|-82.5476|87124|Patent attorney|1993-01-26|787397615467|adults_2550_female_urban.json
103-88-2253|676126773453|Dustin|Brown|M|938 Robin Extensions|Washington|DC|20009|38.9202|-77.0375|601723|Pensions consultant|1975-01-27|922912214634|adults_50up_male_urban.json
038-51-8117|4004991547887289|Julie|Lee|F|2742 Jill Turnpike|Mason|OH|45040|39.3357|-84.3149|50627|Hotel manager|1956-12-24|741172976688|adults_50up_female_urban.json
180-79-6644|6516122753046370|Nicole|Finley|F|904 Schwartz Circle Apt. 742|Shirley|NY|11967|40.7439|-72.876|26583|Optician, dispensing|1960-07-28|552702477657|adults_50up_female_urban.json
789-40-1924|4593327279568788|Rebecca|Petersen|F|918 Rice Lake|Denver|CO|80219|39.6956|-105.0341|990452|Careers adviser|1975-12-09|622414826633|adults_2550_female_urban.json
064-71-8282|4258713971877|Rhonda|Chavez|F|9087 Cummings Locks Suite 039|Stamford|CT|06903|41.1352|-73.5684|122486|Buyer, industrial|1974-10-26|464050986189|adults_50up_female_urban.json
718-09-8867|502070462267|Jacqueline|Vance|F|6182 Wilson Plain Suite 823|Louisville|KY|40211|38.242|-85.8126|736284|Accountant, chartered certified|1948-09-21|24722602367|adults_50up_female_urban.json
475-87-8921|6533752431069037|Daniel|Garcia|M|9030 Gonzales Plains|Eureka|CA|95501|40.7938|-124.1573|48128|Engineer, water|1977-02-24|952427834357|adults_2550_male_urban.json
144-65-4740|4995342836449|Antonio|Fry|M|687 Teresa Row|Midland|TX|79705|32.0295|-102.0915|134281|Museum/gallery curator|1973-12-02|578900622716|adults_50up_male_urban.json
714-54-6689|4628733427086681|Joseph|Price|M|51751 Brett Lane Apt. 139|Brookville|IN|47012|39.4213|-84.9994|10188|Surveyor, land/geomatics|2004-11-05|524918088976|young_adults_male_urban.json
891-43-4968|563173936383|Erica|Campbell|F|544 Hunt Parks Suite 175|Coward|SC|29530|33.9905|-79.7515|2915|Engineer, electronics|1995-02-08|345189549205|adults_2550_female_urban.json
047-73-3626|3504899642353692|Roy|Porter|M|7772 Jackson Stravenue Suite 280|Princeton|NJ|08540|40.3666|-74.6408|52304|Scientist, research (physical sciences)|1968-01-31|919268273279|adults_50up_male_urban.json
838-86-0795|630423120389|Jesus|Brown|M|700 Smith Pines Suite 840|Phoenix|AZ|85086|33.8155|-112.1202|1312922|Retail buyer|1967-07-12|767996662339|adults_50up_male_urban.json
441-23-1754|2623398454615676|Karl|Branch|M|1016 Bennett Mountains|Harker Heights|TX|76548|31.0286|-97.6115|26344|Banker|1987-12-07|11324746755|adults_2550_male_urban.json
176-11-8190|6591803397401489|Justin|Johnson|M|39261 Martin Garden Suite 856|Willow Street|PA|17584|39.967|-76.2752|8957|Counselling psychologist|1974-11-30|797529515996|adults_50up_male_urban.json
513-96-5667|502063159995|James|Ayala|M|477 Michael Lane|Saginaw|MI|48602|43.4248|-83.9745|135669|Podiatrist|1992-09-01|748122047461|adults_2550_male_urban.json
677-49-1405|3531142626551107|Tommy|Wallace|M|21267 Garcia Corners Suite 819|Killeen|TX|76549|31.0065|-97.841|164094|Therapist, sports|2003-12-08|359851424229|young_adults_male_urban.json
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Gig Harbor|WA|98335|47.3002|-122.6084|51325|Programmer, systems|1957-02-08|146488330909|adults_50up_female_urban.json
007-51-5444|3557569245937524|Vincent|Novak|M|793 Bennett Viaduct Suite 519|Raymore|MO|64083|38.8019|-94.4529|20995|Engineer, communications|1992-05-14|199911954718|adults_2550_male_urban.json
787-71-0441|3537416724342666|Angela|Ewing|F|688 Stephens Turnpike Suite 891|Buena Park|CA|90620|33.8439|-118.008|80266|Clinical embryologist|1987-03-13|273885572142|adults_2550_female_urban.json
681-46-2726|4965610143888999|Daniel|Brooks|M|982 Cuevas Orchard Apt. 461|Neeses|SC|29107|33.5343|-81.0834|3166|Commercial art gallery manager|1941-05-17|157754796139|adults_50up_male_urban.json
320-44-7461|4571775140102|Samuel|Wong|M|382 Mark Meadow|Linesville|PA|16424|41.6244|-80.4523|4676|Psychologist, counselling|1989-11-07|877169140360|adults_2550_male_urban.json
645-24-3054|4609379660334199|Brian|Wiggins|M|5371 Lambert Overpass|Gastonia|NC|28054|35.2495|-81.133|102620|Secretary, company|1986-10-12|704228248578|adults_2550_male_urban.json
612-50-6432|3555792499125131|Eric|White|M|669 Bailey Manors|Pittsburgh|PA|15208|40.4532|-79.8995|687276|Electronics engineer|1975-08-30|697874934613|adults_2550_male_urban.json
711-83-2839|213174225790506|John|Lee|M|876 Perry Ville Suite 721|Belleville|MI|48111|42.1949|-83.4854|42313|Systems analyst|1961-04-14|872010906800|adults_50up_male_urban.json
300-05-4504|4279788191480|Samantha|Richardson|F|783 Garcia Village|Platte City|MO|64079|39.3602|-94.789|12485|Firefighter|1978-07-03|959056357132|adults_2550_female_urban.json
461-34-5712|2413395962923307|Kelly|Patel|M|4494 Derek Terrace|Corpus Christi|TX|78410|27.8458|-97.596|306433|Paramedic|2000-02-04|68370591034|adults_2550_male_urban.json
888-84-2079|3532536729466718|Madeline|Beard|F|8457 Murphy Alley|Epworth|IA|52045|42.4439|-90.9313|2589|Chief Financial Officer|2005-06-08|697753726506|young_adults_female_urban.json
715-46-1038|180036374545891|Carlos|Phelps|M|001 Smith Walks Apt. 770|Martinez|CA|94553|37.9864|-122.135|47065|Phytotherapist|1980-08-06|999389892260|adults_2550_male_urban.json
667-39-2605|4541520643611037125|Kevin|Stone|M|05162 Jones Lights Apt. 115|Staunton|IL|62088|39.0135|-89.7857|6960|Mental health nurse|1994-06-27|330201333423|adults_2550_male_urban.json
392-97-2182|4189092753269739|Angelica|Garcia|F|656 Moody Gateway|Colorado Springs|CO|80920|38.9497|-104.767|525713|Health and safety inspector|1937-08-31|92962937500|adults_50up_female_urban.json
567-77-9831|3504389836403768|Brian|Porter|M|055 Paul Villages|Los Angeles|CA|90049|34.066|-118.474|2383912|Teacher, adult education|1965-06-11|401239553647|adults_50up_male_urban.json
700-23-7718|5191043006848665|Mia|Miller|F|1418 Terri Drives|Charleston|MO|63834|36.9213|-89.3342|7135|Software engineer|1987-08-03|430900111440|adults_2550_female_urban.json
650-98-1084|4303161799042102026|Kathleen|Reed|F|52410 Roman Groves Apt. 491|Monticello|IN|47960|40.7626|-86.755|15003|Research scientist (maths)|1957-12-14|560300808050|adults_50up_female_urban.json
057-64-9288|4241913800030756|James|Hernandez|M|635 Robert Stravenue|Potsdam|NY|13676|44.6592|-74.9681|16646|IT consultant|1968-04-02|907403143513|adults_50up_male_urban.json
586-48-1957|213123806174457|Angelica|Bryant|F|49493 Richardson Park Apt. 832|Littleton|CO|80121|39.6111|-104.9532|320420|Accounting technician|1994-08-25|450681215698|adults_2550_female_urban.json
239-70-5676|4506413836702411|Amanda|Hall|F|571 William Route Suite 199|Monrovia|CA|91016|34.144|-118.0014|40598|Biomedical engineer|1971-10-24|727717710246|adults_50up_female_urban.json
243-38-4277|375574313291214|Christopher|Owens|M|85374 Baker Crest Apt. 249|Belton|TX|76513|31.0723|-97.472|34172|Architect|1974-06-12|915751541289|adults_50up_male_urban.json
152-12-4067|378044206788319|Joel|Lara|M|00323 Watson Roads|Millville|MN|55957|44.2359|-92.2672|756|Chartered accountant|1985-02-25|646746156066|adults_2550_male_rural.json
833-10-0358|2237215107029667|Jon|Reyes|M|53244 Stephenson Bypass Apt. 476|Denver|CO|80237|39.6431|-104.8987|990452|Statistician|1993-10-21|66481931623|adults_2550_male_urban.json
287-50-2249|6011838065787597|Jonathan|Price|M|59304 Lindsey Mountains|Linden|MI|48451|42.8104|-83.7993|14767|Senior tax professional/tax inspector|1993-12-26|843348752593|adults_2550_male_urban.json
239-21-1641|4480396522393|Evan|Rojas|M|059 Anna Field Suite 842|Birmingham|AL|35208|33.4977|-86.8799|493806|Recycling officer|1961-11-14|98947300855|adults_50up_male_urban.json
239-78-3585|676170593252|Michelle|Sellers|F|02921 Yu Landing Suite 915|Arvada|CO|80003|39.8286|-105.0655|122111|Immigration officer|1994-11-29|147414458291|adults_2550_female_urban.json
750-56-7983|4289539264422099|James|Gamble|M|95939 Sharon Divide|Lewisville|TX|75057|33.0532|-96.9999|109212|Learning disability nurse|1987-05-11|84805603866|adults_2550_male_urban.json
356-41-2751|4570433154100676|Nicholas|Costa|M|6586 Maria Turnpike Apt. 271|Bethel|OH|45106|38.9424|-84.092|12349|Analytical chemist|1966-02-05|22741459331|adults_50up_male_urban.json
268-14-1216|346218159970624|Lawrence|Hamilton|M|53368 Guerrero Hills|Minneapolis|MN|55405|44.9702|-93.3047|1022298|Field seismologist|1952-11-04|51951563323|adults_50up_male_urban.json
586-71-8044|4506149731032419|John|Wilson|M|7418 Lopez Light Suite 270|Arlington|TN|38002|35.2752|-89.7295|38927|General practice doctor|1933-05-14|512989778945|adults_50up_male_urban.json
232-35-9245|503811586935|Kristen|Randall|F|793 Evans Locks Apt. 898|Danville|PA|17821|40.9799|-76.6229|18219|Teacher, music|1981-12-17|161577842715|adults_2550_female_urban.json
776-58-2833|4320616329451163|Justin|Arnold|M|709 Rodriguez Drive Apt. 999|San Antonio|TX|78247|29.5855|-98.4071|1595797|Chiropodist|1965-02-03|119936653222|adults_50up_male_urban.json
799-13-4688|180064679970242|Jennifer|Montgomery|F|65307 Prince Brooks Suite 444|Frisco|TX|75035|33.1377|-96.7524|120276|Regulatory affairs officer|1969-02-22|768190268997|adults_50up_female_urban.json
101-30-2202|4546913736785082143|Michael|Powell|M|33030 Williams Lake|Houston|TX|77044|29.8635|-95.1976|2906700|Engineer, civil (contracting)|1980-04-21|404903650217|adults_2550_male_urban.json
518-51-2030|4357972798552411|Dominique|Hughes|F|333 Joseph Lodge|Havelock|NC|28532|34.8968|-76.89|23320|Scientific laboratory technician|1985-10-18|949273896633|adults_2550_female_urban.json
010-61-2168|4903494466574378|Eric|Meyer|M|108 Hoffman Ranch Suite 417|Anoka|MN|55303|45.2825|-93.4186|46352|Bonds trader|1964-03-19|701267155766|adults_50up_male_urban.json
883-36-4279|4328309652074461|Jared|Doyle|M|3875 Bruce Ville|Elk Grove|CA|95624|38.4232|-121.3599|162646|Surveyor, insurance|2004-01-23|322900519786|young_adults_male_urban.json
483-17-4238|3551353465549475|Samuel|Ruiz|M|3816 Gutierrez Ways|Cohutta|GA|30710|34.9326|-84.9458|6661|Dentist|1942-04-27|374522422066|adults_50up_male_urban.json
584-59-2347|341752500743293|Phillip|Burns|M|96666 Reyes Camp|Stanley|WI|54768|44.9689|-90.9389|5990|Social research officer, government|1975-12-03|804015362037|adults_2550_male_urban.json
015-42-8701|4033542168940|Christopher|Colon|M|7898 Hamilton Spur Apt. 575|Racine|WI|53405|42.7161|-87.8233|127302|Emergency planning/management officer|1986-09-10|445869180665|adults_2550_male_urban.json
234-29-2150|4982150648900|Linda|Williams|F|001 Wallace Crossing|San Antonio|TX|78244|29.4793|-98.3476|1595797|Sports development officer|1976-08-25|520776545528|adults_2550_female_urban.json
157-27-0153|4184992618914117392|Christina|Baker|F|6420 Lozano Spurs|Spearfish|SD|57783|44.4946|-103.865|14950|Quarry manager|1989-11-18|259117969489|adults_2550_female_urban.json
014-86-1459|2717218114374471|Amber|Li|F|5561 Melissa Cape|Jacksonville|NC|28540|34.7375|-77.4628|91948|Acupuncturist|1991-02-04|153983162030|adults_2550_female_urban.json
663-22-5385|379415521667462|Michael|Mendoza|M|212 Tina Vista Apt. 169|Riverside|CA|92503|33.9208|-117.4589|419138|Radiation protection practitioner|2003-07-27|626215958920|young_adults_male_urban.json
449-24-6222|342771670145088|Patricia|Ray|F|588 Ryan Stream|Federal Way|WA|98003|47.3203|-122.3117|91661|Fish farm manager|1969-01-30|380026994241|adults_50up_female_urban.json
693-83-6306|4028772175354087|Daniel|Schneider|M|17797 Melissa Mission Suite 170|Hampton|NH|03842|42.9359|-70.8243|15345|Civil engineer, contracting|1998-08-01|452704326218|adults_2550_male_urban.json
571-71-0003|2720948837550370|Evelyn|Saunders|F|571 Katherine Forges Apt. 554|Santa Fe Springs|CA|90670|33.9464|-118.0838|14866|Sports development officer|1948-03-21|410263801993|adults_50up_female_urban.json
109-06-2690|30261493316378|Samantha|Lee|F|60917 Barrett Parkways Apt. 708|Tucson|AZ|85746|32.1422|-111.0506|865276|Art therapist|1998-11-21|920981907761|adults_2550_female_urban.json
495-66-2904|3521699586693460|Victor|Waller|M|26984 Joseph Plaza Apt. 339|Henderson|NV|89052|35.9878|-115.1167|264999|Horticultural therapist|1938-11-28|380906095118|adults_50up_male_urban.json
136-91-2914|180015879968469|Rhonda|Mills|F|2003 Christensen Estates|Garfield|MN|56332|45.9847|-95.5066|1407|Historic buildings inspector/conservation officer|1991-11-16|277813046063|adults_2550_female_rural.json
860-08-4836|4571983863842|Michael|Williams|M|6580 Julia Flats Suite 359|Grenada|MS|38901|33.7751|-89.8087|18403|Sports coach|1985-12-24|664596582306|adults_2550_male_urban.json
795-93-3171|4212281606484229407|Gary|Mckinney|M|25909 Henry Ports|Colts Neck|NJ|07722|40.3012|-74.178|10209|Statistician|2005-09-07|78847377226|young_adults_male_urban.json
326-68-3604|4826886153355546|Colleen|Goodwin|F|015 Allen Row Apt. 056|Milwaukee|WI|53204|43.0158|-87.9317|817312|Clothing/textile technologist|1966-01-29|280830198772|adults_50up_female_urban.json
742-37-0405|180088770435813|Tiffany|Jackson|F|133 Houston Ford|Ukiah|CA|95482|39.1552|-123.1951|31808|Soil scientist|1942-05-19|772358594412|adults_50up_female_urban.json
794-56-1182|3507501102481933|Susan|Russell|F|665 Perry Crest Apt. 919|Dearborn Heights|MI|48127|42.3353|-83.2864|57774|Armed forces technical officer|1970-03-23|935018168609|adults_50up_female_urban.json
367-65-1739|4914766072832684246|Michael|Sloan|M|88210 Ashley Lock Apt. 435|Berkeley Heights|NJ|07922|40.6752|-74.4346|12246|Engineer, mining|1979-06-21|993909782929|adults_2550_male_urban.json
872-66-2334|4394312908781417|Danielle|Gonzalez|F|5231 Harvey Fields Suite 775|Brick|NJ|08723|40.0389|-74.1109|73993|Warehouse manager|1961-12-23|337839646089|adults_50up_female_urban.json
599-20-9267|3556205336452575|Joel|Howard|M|8129 Meagan Walks Apt. 834|Ashtabula|OH|44004|41.8679|-80.7947|33421|Camera operator|1965-08-05|84728646799|adults_50up_male_urban.json
870-65-0512|3593084887256395|Morgan|Carter|F|816 Shaw Shore Apt. 928|Ottsville|PA|18942|40.4592|-75.157|3260|Counselling psychologist|1972-08-19|173715194068|adults_50up_female_urban.json
580-73-2396|3550373145303854|Jasmine|Hardin|F|51844 Nicholas Lane|Virginia Beach|VA|23452|36.8348|-76.0961|437994|Medical secretary|1955-02-04|719783599768|adults_50up_female_urban.json
